id,name,type,parent,attributes,Tekla Common.Class,Tekla Common.Phase,Tekla Common.Preliminary mark,Tekla Common.Initial GUID,Tekla Common.Top elevation,Tekla Common.Bottom elevation,Tekla Quantity.Length,Tekla Quantity.Width,Tekla Quantity.Height,Tekla Quantity.Net surface area,Tekla Quantity.Area per tons,Tekla Quantity.Gross footprint area,Tekla Quantity.Volume,Tekla Quantity.Weight,Pours.Pour Concrete Mixture,Pours.Pour Comment,Pours.Pour Number,Pours.Pour Type,Pours.Pour User Field1,Pours.Pour User Field2,Pours.Pour User Field3,Pours.Pour User Field4,Pours.Pour Formwork Checked By,Pours.Pour Formwork Comment,Pours.Pour Formwork Status,Pours.Pour Formwork Check Date,Pours.Pour Planned Start Form,Pours.Pour Planned End Form,Pours.Pour Actual Start Form,Pours.Pour Actual End Form,Pours.Pour Rebar CheckedBy,Pours.Pour Rebar Comment,Pours.Pour Rebar Release Number,Pours.Pour Rebar Shipment Number,Pours.Pour Rebar Status,Pours.Pour Rebar Check Date,Pours.Pour Planned Start Rebar,Pours.Pour Planned End Rebar,Pours.Pour Actual Start Rebar,Pours.Pour Actual End Rebar,Pours.Pour Checked By,Pours.Pour Status,Pours.Pour Check Date,Pours.Pour Planned Start Date,Pours.Pour Planned End Date,Pours.Pour Actual Start Date,Pours.Pour Actual End Date,Pours.Pour Area,Pours.Pour Area PGZ,Pours.Pour Area NGZ,Pours.Pour Area PGX,Pours.Pour Area NXG,Pours.Pour Area PGY,Pours.Pour Area NGY,Pours.Pour Content Type,Pours.Pour GUID,Pours.Pour ID,Pours.Pour Material,Pours.Pour Top Level,Pours.Pour Bottom Level,Pours.Pour Volume,Pours.Pour Weight,Pours.Pour Weight Net,Pours.Pour Break GUID,Pours.Pour Break ID,Pours.Pour Break Type,Pours.Pour Break Comment,SlabBaseQuantities.Width,SlabBaseQuantities.NetArea,SlabBaseQuantities.NetVolume,SlabBaseQuantities.NetWeight,Pset_SlabCommon.Reference,Pset_SlabCommon.AcousticRating,Pset_SlabCommon.FireRating,Pset_SlabCommon.Combustible,Pset_SlabCommon.SurfaceSpreadOfFlame,Pset_SlabCommon.ThermalTransmittance,Pset_SlabCommon.IsExternal,Pset_SlabCommon.LoadBearing,Pset_SlabCommon.Compartmentation,Pset_SlabCommon.PitchAngle,attributes.elevation
2g29fT4F93euJ7OxW4rvoZ,O-P/47-52,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,598,180,5.282,6.942,1.679,0.317,760.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,1.8,1.8,0.2,0.2,0.6,0.6,PART,aa089a5d-10f2-43a3-84c7-63b804d79ca3,,C25/30, +0.180, +0.000,0.317,760.9,760.9,aa089a5d-10f2-43a3-84c7-63b804d79ca3,,,,,,,,,,,,,,,,,,
3qHtipHU54OOrBEzuxiKIt,O-P/69-74,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,598,180,5.294,6.963,1.675,0.317,760.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,1.8,1.8,0.2,0.2,0.6,0.6,PART,f4477b33-45e1-4461-8d4b-3bde3bb144b7,,C25/30, +0.180, +0.000,0.317,760.3,760.3,f4477b33-45e1-4461-8d4b-3bde3bb144b7,,,,,,,,,,,,,,,,,,
1eZTzpdWn7Lhe5czf8qMID,Q-T/61-68,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,4198,1798,180,17.667,5.441,7.432,1.353,3246.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.5,7.5,0.4,0.4,0.8,0.8,PART,688ddf73-9e0c-4756-ba05-9bda48d1648d,,C25/30, +0.180, +0.000,1.353,3246.7,3246.7,688ddf73-9e0c-4756-ba05-9bda48d1648d,,,,,,,,,,,,,,,,,,
39YWhJvO93UxbWjhmENhDV,I-L/1-6,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.732,5.485,5.33,0.967,2321.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,5.4,5.4,0.4,0.4,0.6,0.6,PART,c98a0ad3-e582-437b-b960-b6bc0e5eb35f,,C25/30, +0.180, +0.000,0.967,2321.3,2321.3,c98a0ad3-e582-437b-b960-b6bc0e5eb35f,,,,,,,,,,,,,,,,,,
3xjusdiVT9DQLSOLOEFV9j,I-L/7-12,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,2998,1798,180,12.766,5.502,5.32,0.967,2320.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,5.4,5.4,0.4,0.4,0.6,0.6,PART,fbb78da7-b1f7-4935-a55c-61560e3df26d,,C25/30, +0.180, +0.000,0.967,2320.2,2320.2,fbb78da7-b1f7-4935-a55c-61560e3df26d,,,,,,,,,,,,,,,,,,
0e_TsNyDrAjOo0__t_cQ88,I-N/16-18,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,1198,2998,180,9.054,5.882,3.49,0.641,1539.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,3.6,3.6,0.6,0.6,0.3,0.3,PART,28f9dd97-f0dd-4ab5-8c80-fbedfe99a208,,C25/30, +0.180, +0.000,0.641,1539.4,1539.4,28f9dd97-f0dd-4ab5-8c80-fbedfe99a208,,,,,,,,,,,,,,,,,,
3JpfiggFPDf8FGQOwiTVav,I-N/22-24,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,1198,2998,180,9.081,5.902,3.484,0.641,1538.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,3.6,3.6,0.6,0.6,0.3,0.3,PART,d3ce9b2a-a8f6-4da4-83d0-698eac75f939,,C25/30, +0.180, +0.000,0.641,1538.6,1538.6,d3ce9b2a-a8f6-4da4-83d0-698eac75f939,,,,,,,,,,,,,,,,,,
2wN9PgqSj3CB3jLsniFuye,I-L/25-32,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,4198,1798,180,17.615,5.421,7.452,1.354,3249.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.5,7.5,0.4,0.4,0.8,0.8,PART,ba5c966a-d1cb-4330-b0ed-576c6c3f8f28,,C25/30, +0.180, +0.000,1.354,3249.2,3249.2,ba5c966a-d1cb-4330-b0ed-576c6c3f8f28,,,,,,,,,,,,,,,,,,
0Zcm9bTG93jguc2pq9FvQS,I-N/19-21,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,1198,2998,180,9.046,5.874,3.495,0.642,1539.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,3.6,3.6,0.6,0.6,0.3,0.3,PART,239b0265-7502-43b6-ae26-0b3d093f969c,,C25/30, +0.180, +0.000,0.642,1539.9,1539.9,239b0265-7502-43b6-ae26-0b3d093f969c,,,,,,,,,,,,,,,,,,
1OlheXaW5C59w$o0X1Rjzn,I-N/44-46,IfcBuildingElementProxy,2tJeN8cjH1TeLxgjpDhNjD,,3,1,,, +0.180, +0.000,1198,2998,180,9.082,5.903,3.482,0.641,1538.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,3.6,3.6,0.6,0.6,0.3,0.3,PART,58beba21-9201-4c14-9ebf-c808416edf71,,C25/30, +0.180, +0.000,0.641,1538.4,1538.4,58beba21-9201-4c14-9ebf-c808416edf71,,,,,,,,,,,,,,,,,,
